uuid|origin|destination|message|Network Uuid|Sender (Account UUID)|Messagestatus Uuid|datetime|Phone UUID
a05f1aa4-3ece-4ed6-acfc-c2948cdb9592|20272|254722347063|I was exceedingly interested|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-02-01 01:36:07|
f76fbb3d-b161-41c9-8b71-f6a674427ba3|tawi|254723734954|An easy prey to the powers of folly|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-02-01 01:45:08|
52da30b3-53d8-4482-ad86-436b8074c6e3|impala|254720617207|A heart from which noble sentiments sprang like sparks from an anvil|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-02-01 01:58:25|
6b44e893-3624-406c-b8d3-73ddf9218207|20240|254724300863|It is pitiable to reflect|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-02-01 03:23:15|
c89fc026-2e4d-4d2b-82c9-4535703e1bc5|20272|254706774472|A look threatening and peremptory|5C1D9939-136A-55DE-FD0E-61D8204E17C9|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-02-01 04:29:20|
504b5cea-6a5b-4765-8c95-353001769522|tawi|254724623543|Pregnant with a lesson of the deepest import|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-02-01 08:15:09|
82d1435b-7b58-449d-a65b-08384a7c2701|impala|254721735268|We must insist upon a prompt settlement|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-02-01 08:18:54|
dad3ed9b-0d90-4aad-9a63-9ae19f18d333|20240|254722462394|Dawn had broken|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-02-01 09:50:02|
3320e93f-ae6c-4260-ad49-c4b6520b13b1|20272|254704453351|The mute melancholy landscape|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-02-01 10:08:01|
d62c4c94-3ef4-4d2d-a929-9cd9bef94c39|tawi|254715946714|They all met a dark and relentless fate|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-02-01 10:21:27|
