uuid|origin|destination|message|networkuuid|sender|messagestatusuuid|datetime
a05f1aa4-3ece-4ed6-acfc-c2948cdb9592|20272|254722347063|I was exceedingly interested|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-21 02:01:51.302+03
f76fbb3d-b161-41c9-8b71-f6a674427ba3|tawi|254723734954|An easy prey to the powers of folly|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-21 03:48:04.603+03
52da30b3-53d8-4482-ad86-436b8074c6e3|impala|254720617207|A heart from which noble sentiments sprang like sparks from an anvil|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-21 04:41:26.09+03
6b44e893-3624-406c-b8d3-73ddf9218207|20240|254724300863|It is pitiable to reflect|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-21 08:47:55.121+03
c89fc026-2e4d-4d2b-82c9-4535703e1bc5|20272|254706774472|A look threatening and peremptory|5C1D9939-136A-55DE-FD0E-61D8204E17C9|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-21 09:19:51.808+03
504b5cea-6a5b-4765-8c95-353001769522|tawi|254724623543|Pregnant with a lesson of the deepest import|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-21 09:26:33.01+03
82d1435b-7b58-449d-a65b-08384a7c2701|impala|254721735268|We must insist upon a prompt settlement|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-21 10:43:07.603+03
dad3ed9b-0d90-4aad-9a63-9ae19f18d333|20240|254722462394|Dawn had broken|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-21 11:36:11.603+03
3320e93f-ae6c-4260-ad49-c4b6520b13b1|20272|254704453351|The mute melancholy landscape|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-21 13:31:38.607+03
d62c4c94-3ef4-4d2d-a929-9cd9bef94c39|tawi|254715946714|They all met a dark and relentless fate|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-21 19:03:05.664+03
bb43fca4-96cc-46b9-baf3-6f3ccffcc799|impala|254729421592|Let us look nearer home|5C1D9939-136A-55DE-FD0E-61D8204E17C9|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-21 19:17:10.582+03
c405e2d5-ffcc-42d6-98c6-86613aa9522e|20240|254722954492|My thoughts came yapping and growling round me like a pack of curs|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-22 00:45:05.799+03
033ca15a-c016-42fb-9f1b-e57031125549|20272|254700586270|You may be sure|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-22 02:07:54.008+03
5032bb8d-702a-406e-915d-17c8ba72055f|tawi|254713620372|Apprehensive solicitude about the future|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-22 02:10:24.858+03
71619a87-433d-4d02-9011-51716a9c2cc6|impala|254701549732|Reluctantly I admit it|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-22 03:31:11.607+03
888ec413-cd26-42de-ac6a-a26cf7b09c09|20240|254721503438|I am so sorry--so very sorry|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-22 04:30:43.022+03
0612d83f-b390-4a12-ba57-823d96ee9063|20272|254717775641|The lilies were drooping, white, and wan,|5C1D9939-136A-55DE-FD0E-61D8204E17C9|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-22 06:08:39.753+03
489e072d-e32b-4b32-b2bc-a4e6c2d47e80|tawi|254718100718|A covertly triumphant voice|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-22 09:36:43.277+03
7f9550da-a10d-4a2a-b722-c497a2accab8|impala|254722347063|His gaze seemed full of unconquerable hopefulness|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-22 13:25:44.947+03
39533c07-bf96-4b84-b312-0795d99ac12c|20240|254723734954|Questioned and tested in the crucible of experience|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-22 13:40:36.36+03
860912f3-ae70-4eed-a318-d77884f53aaf|20272|254720617207|By a curious perversity of fate|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-22 15:52:13.695+03
760d5768-93b0-4ccc-874b-56c311896cb1|tawi|254724300863|A course of arrogant obstinacy|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-22 17:08:50.407+03
36e461ec-fc97-4432-8c7d-325547f801e4|impala|254706774472|It will give me pleasure to do it|5C1D9939-136A-55DE-FD0E-61D8204E17C9|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-22 17:49:41.914+03
fd22a2bd-682d-4e0d-8117-c07ea56acaa8|20240|254724623543|We note that the time is at hand|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-22 18:58:32.05+03
4f9665c1-88a3-40e7-b804-30a4928c2ca7|20272|254721735268|The penalty falls like a thunderbolt from heaven|0DE968C9-7309-C481-58F7-AB6CDB1011EF|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|2015-01-22 19:25:28.734+03
df476d22-b8c1-403d-b873-3a3facff1bff|tawi|254722462394|To state the case is to prove it|5C1D9939-136A-55DE-FD0E-61D8204E17C9|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|2015-01-22 19:27:17.112+03
2aca020d-a9b7-484d-b5aa-bf8b36231ff9|impala|254704453351|His nerves thrilled like throbbing violins|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|2015-01-22 19:54:19.81+03
ad803e5a-ba2f-4afb-b73d-faebd9b934f8|20240|254715946714|I know very well the difference between|0DE968C9-7309-C481-58F7-AB6CDB1011EF|650195B6-9357-C147-C24E-7FBDAEEC74ED|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|2015-01-22 20:57:36.923+03
